number of iterations required: 900
---utility for each state (row, column)---
(6, 55) - utility: 90.773
(6, 56) - utility: 88.773
(6, 58) - utility: 64.905
(6, 59) - utility: 59.630
(6, 60) - utility: 57.274
(6, 62) - utility: 87.078
(6, 63) - utility: 85.775
(6, 64) - utility: 84.477
(6, 65) - utility: 80.987
(6, 67) - utility: 60.589
(6, 68) - utility: 58.121
(6, 69) - utility: 57.408
(6, 70) - utility: 60.583
(6, 71) - utility: 70.283
(6, 72) - utility: 81.230
(6, 73) - utility: 83.741
(6, 74) - utility: 82.073
(6, 76) - utility: 75.018
(6, 77) - utility: 81.831
(6, 78) - utility: 83.644
(6, 79) - utility: 80.414
(6, 80) - utility: 80.020
(6, 81) - utility: 79.273
(6, 82) - utility: 76.696
(6, 83) - utility: 75.360
(6, 84) - utility: 74.301
(6, 85) - utility: 72.237
(6, 86) - utility: 69.658
(6, 87) - utility: 66.906
(6, 88) - utility: 62.875
(6, 90) - utility: 59.506
(6, 91) - utility: 58.785
(6, 92) - utility: 58.874
(6, 94) - utility: 55.505
(6, 95) - utility: 53.652
(6, 96) - utility: 57.624
(6, 97) - utility: 58.631
(6, 98) - utility: 60.019
(6, 99) - utility: 57.372
(7, 0) - utility: 62.062
(7, 1) - utility: 68.738
(7, 2) - utility: 76.471
(7, 4) - utility: 76.132
(7, 8) - utility: 55.924
(7, 9) - utility: 59.345
(7, 10) - utility: 69.169
(7, 11) - utility: 67.439
(7, 12) - utility: 65.832
(7, 13) - utility: 64.088
(7, 14) - utility: 66.545
(7, 15) - utility: 65.626
(7, 16) - utility: 59.236
(7, 19) - utility: 56.964
(7, 20) - utility: 72.821
(7, 21) - utility: 72.292
(7, 22) - utility: 71.543
(7, 24) - utility: 69.290
(7, 25) - utility: 68.104
(7, 26) - utility: 68.124
(7, 27) - utility: 66.065
(7, 28) - utility: 65.614
(7, 29) - utility: 64.511
(7, 30) - utility: 62.492
(7, 31) - utility: 63.114
(7, 32) - utility: 61.321
(7, 33) - utility: 59.888
(7, 34) - utility: 58.515
(7, 35) - utility: 56.486
(7, 37) - utility: 52.634
(7, 38) - utility: 51.218
(7, 39) - utility: 47.804
(7, 41) - utility: 49.662
(7, 42) - utility: 49.412
(7, 43) - utility: 48.773
(7, 44) - utility: 47.766
(7, 46) - utility: 51.657
(7, 47) - utility: 54.446
(7, 48) - utility: 54.367
(7, 49) - utility: 58.423
(7, 50) - utility: 59.758
(7, 51) - utility: 57.032
(7, 52) - utility: 56.443
(7, 54) - utility: 93.070
(7, 55) - utility: 92.372
(7, 56) - utility: 90.907
(7, 57) - utility: 88.527
(7, 58) - utility: 67.647
(7, 59) - utility: 60.069
(7, 60) - utility: 58.966
(7, 61) - utility: 58.953
(7, 65) - utility: 63.794
(7, 66) - utility: 61.608
(7, 67) - utility: 61.713
(7, 68) - utility: 58.686
(7, 69) - utility: 57.697
(7, 71) - utility: 71.065
(7, 72) - utility: 83.360
(7, 73) - utility: 85.372
(7, 74) - utility: 82.952
(7, 75) - utility: 78.647
(7, 76) - utility: 76.377
(7, 77) - utility: 82.227
(7, 78) - utility: 84.068
(7, 79) - utility: 82.338
(7, 80) - utility: 81.125
(7, 82) - utility: 69.291
(7, 83) - utility: 68.414
(7, 84) - utility: 69.006
(7, 85) - utility: 68.079
(7, 86) - utility: 66.160
(7, 87) - utility: 61.752
(7, 88) - utility: 63.216
(7, 89) - utility: 60.968
(7, 90) - utility: 59.085
(7, 91) - utility: 59.265
(7, 92) - utility: 57.636
(7, 93) - utility: 57.769
(7, 94) - utility: 56.489
(7, 96) - utility: 58.774
(7, 97) - utility: 58.061
(7, 99) - utility: 57.816
(8, 1) - utility: 70.736
(8, 2) - utility: 78.454
(8, 3) - utility: 89.374
(8, 4) - utility: 77.144
(8, 5) - utility: 68.650
(8, 6) - utility: 64.686
(8, 7) - utility: 59.464
(8, 8) - utility: 56.253
(8, 10) - utility: 70.224
(8, 12) - utility: 67.944
(8, 15) - utility: 67.189
(8, 17) - utility: 71.555
(8, 18) - utility: 72.390
(8, 20) - utility: 74.527
(8, 21) - utility: 73.283
(8, 22) - utility: 71.090
(8, 24) - utility: 67.487
(8, 25) - utility: 66.727
(8, 26) - utility: 66.046
(8, 28) - utility: 59.452
(8, 30) - utility: 63.542
(8, 31) - utility: 64.263
(8, 32) - utility: 62.101
(8, 33) - utility: 58.605
(8, 34) - utility: 59.387
(8, 35) - utility: 56.068
(8, 36) - utility: 55.021
(8, 37) - utility: 52.213
(8, 38) - utility: 52.165
(8, 39) - utility: 49.244
(8, 40) - utility: 52.249
(8, 41) - utility: 50.372
(8, 42) - utility: 50.135
(8, 43) - utility: 49.486
(8, 44) - utility: 48.294
(8, 45) - utility: 49.257
(8, 46) - utility: 52.012
(8, 47) - utility: 55.543
(8, 48) - utility: 54.587
(8, 49) - utility: 59.551
(8, 51) - utility: 51.522
(8, 52) - utility: 57.133
(8, 53) - utility: 62.642
(8, 58) - utility: 66.889
(8, 60) - utility: 58.311
(8, 61) - utility: 59.746
(8, 62) - utility: 60.902
(8, 63) - utility: 60.078
(8, 64) - utility: 58.082
(8, 65) - utility: 53.451
(8, 66) - utility: 60.443
(8, 67) - utility: 62.935
(8, 68) - utility: 60.435
(8, 69) - utility: 58.353
(8, 70) - utility: 58.549
(8, 71) - utility: 68.927
(8, 72) - utility: 85.749
(8, 73) - utility: 87.055
(8, 75) - utility: 62.256
(8, 77) - utility: 83.817
(8, 78) - utility: 84.314
(8, 79) - utility: 82.051
(8, 81) - utility: 79.074
(8, 83) - utility: 61.769
(8, 84) - utility: 65.316
(8, 85) - utility: 63.785
(8, 86) - utility: 64.100
(8, 87) - utility: 61.848
(8, 89) - utility: 59.242
(8, 90) - utility: 59.677
(8, 91) - utility: 61.503
(8, 92) - utility: 59.285
(8, 93) - utility: 59.939
(8, 94) - utility: 58.305
(8, 95) - utility: 57.736
(8, 96) - utility: 59.656
(8, 98) - utility: 55.082
(8, 99) - utility: 54.002
(9, 0) - utility: 64.959
(9, 1) - utility: 71.928
(9, 2) - utility: 79.095
(9, 3) - utility: 94.659
(9, 4) - utility: 77.702
(9, 5) - utility: 69.002
(9, 6) - utility: 65.710
(9, 7) - utility: 60.014
(9, 8) - utility: 57.825
(9, 10) - utility: 68.274
(9, 12) - utility: 68.853
(9, 13) - utility: 68.887
(9, 14) - utility: 68.525
(9, 15) - utility: 68.089
(9, 16) - utility: 70.492
(9, 17) - utility: 73.617
(9, 18) - utility: 73.459
(9, 19) - utility: 73.730
(9, 20) - utility: 73.662
(9, 21) - utility: 72.135
(9, 22) - utility: 70.378
(9, 23) - utility: 68.532
(9, 24) - utility: 68.485
(9, 25) - utility: 66.416
(9, 26) - utility: 65.594
(9, 27) - utility: 65.374
(9, 28) - utility: 59.703
(9, 29) - utility: 60.835
(9, 30) - utility: 64.305
(9, 31) - utility: 64.173
(9, 32) - utility: 61.957
(9, 33) - utility: 60.074
(9, 35) - utility: 56.543
(9, 36) - utility: 52.603
(9, 37) - utility: 52.579
(9, 38) - utility: 51.921
(9, 39) - utility: 50.388
(9, 40) - utility: 53.570
(9, 41) - utility: 52.065
(9, 42) - utility: 50.871
(9, 43) - utility: 50.229
(9, 44) - utility: 47.372
(9, 45) - utility: 49.706
(9, 46) - utility: 52.622
(9, 49) - utility: 60.975
(9, 52) - utility: 59.130
(9, 53) - utility: 64.172
(9, 54) - utility: 64.997
(9, 55) - utility: 62.958
(9, 56) - utility: 62.851
(9, 57) - utility: 63.098
(9, 58) - utility: 62.789
(9, 59) - utility: 59.289
(9, 60) - utility: 58.919
(9, 61) - utility: 59.273
(9, 62) - utility: 61.969
(9, 63) - utility: 59.964
(9, 65) - utility: 51.410
(9, 66) - utility: 60.507
(9, 67) - utility: 65.616
(9, 68) - utility: 61.196
(9, 70) - utility: 58.066
(9, 71) - utility: 70.254
(9, 72) - utility: 88.822
(9, 77) - utility: 84.864
(9, 78) - utility: 84.461
(9, 80) - utility: 82.277
(9, 81) - utility: 81.335
(9, 82) - utility: 80.297
(9, 84) - utility: 66.827
(9, 86) - utility: 65.281
(9, 87) - utility: 62.399
(9, 88) - utility: 62.063
(9, 89) - utility: 61.199
(9, 90) - utility: 60.308
(9, 91) - utility: 61.522
(9, 93) - utility: 61.032
(9, 94) - utility: 58.959
(9, 95) - utility: 58.205
(9, 96) - utility: 60.700
(9, 97) - utility: 59.422
(9, 98) - utility: 57.175
(9, 99) - utility: 54.600
(10, 1) - utility: 74.074
(10, 3) - utility: 99.970
(10, 5) - utility: 67.935
(10, 6) - utility: 66.892
(10, 7) - utility: 60.385
(10, 9) - utility: 68.322
(10, 10) - utility: 69.187
(10, 11) - utility: 68.431
(10, 12) - utility: 69.769
(10, 13) - utility: 71.069
(10, 14) - utility: 69.451
(10, 15) - utility: 68.644
(10, 16) - utility: 71.342
(10, 17) - utility: 73.695
(10, 18) - utility: 74.384
(10, 19) - utility: 73.441
(10, 20) - utility: 69.594
(10, 21) - utility: 66.461
(10, 22) - utility: 63.130
(10, 23) - utility: 61.093
(10, 24) - utility: 65.925
(10, 25) - utility: 66.369
(10, 27) - utility: 66.932
(10, 28) - utility: 60.869
(10, 29) - utility: 61.362
(10, 31) - utility: 63.981
(10, 32) - utility: 62.748
(10, 33) - utility: 60.648
(10, 34) - utility: 59.203
(10, 35) - utility: 57.801
(10, 36) - utility: 52.828
(10, 37) - utility: 53.373
(10, 38) - utility: 52.737
(10, 39) - utility: 51.698
(10, 41) - utility: 47.387
(10, 42) - utility: 47.597
(10, 43) - utility: 51.192
(10, 45) - utility: 50.311
(10, 46) - utility: 52.389
(10, 47) - utility: 57.025
(10, 48) - utility: 61.531
(10, 49) - utility: 61.795
(10, 52) - utility: 57.984
(10, 53) - utility: 64.248
(10, 54) - utility: 64.913
(10, 55) - utility: 63.112
(10, 56) - utility: 62.338
(10, 57) - utility: 61.347
(10, 58) - utility: 62.968
(10, 59) - utility: 60.910
(10, 60) - utility: 60.835
(10, 61) - utility: 59.779
(10, 62) - utility: 63.390
(10, 64) - utility: 56.528
(10, 65) - utility: 50.973
(10, 67) - utility: 68.898
(10, 68) - utility: 61.467
(10, 69) - utility: 60.651
(10, 70) - utility: 58.538
(10, 71) - utility: 71.607
(10, 72) - utility: 92.315
(10, 73) - utility: 92.865
(10, 74) - utility: 91.111
(10, 75) - utility: 89.170
(10, 76) - utility: 82.412
(10, 77) - utility: 84.384
(10, 78) - utility: 79.812
(10, 79) - utility: 83.045
(10, 80) - utility: 83.485
(10, 81) - utility: 82.425
(10, 82) - utility: 81.232
(10, 83) - utility: 78.972
(10, 84) - utility: 67.721
(10, 85) - utility: 68.774
(10, 86) - utility: 66.517
(10, 87) - utility: 62.919
(10, 88) - utility: 62.963
(10, 89) - utility: 62.026
(10, 91) - utility: 62.502
(10, 92) - utility: 62.680
(10, 93) - utility: 60.800
(10, 94) - utility: 60.801
(10, 95) - utility: 59.796
(10, 96) - utility: 61.989
(10, 97) - utility: 60.344
(10, 99) - utility: 56.230
(11, 0) - utility: 74.689
(11, 1) - utility: 73.747
(11, 2) - utility: 71.946
(11, 4) - utility: 63.495
(11, 5) - utility: 68.974
(11, 8) - utility: 71.824
(11, 9) - utility: 70.340
(11, 10) - utility: 70.315
(11, 11) - utility: 69.084
